,Name,Type,County,Population,Land Area miles2,Address,Indicator,Latitude,Longitude
166,Gustine,City,Merced,5520,1.55,"Gustine, California",0.0,37.2577171,-120.9988154
167,Half Moon Bay,City,San Mateo,11324,6.42,"Half Moon Bay, California",0.0,37.4635519,-122.4285862
168,Hanford,City,Kings,53967,16.59,"Hanford, California",0.0,36.3274502,-119.6456844
169,Hawaiian Gardens,City,Los Angeles,14254,0.95,"Hawaiian Gardens, California",0.0,33.8284787,-118.0743137
170,Hawthorne,City,Los Angeles,84293,6.08,"Hawthorne, California",0.0,33.9188589,-118.3483256
171,Hayward,City,Alameda,144186,45.32,"Hayward, California",0.0,37.6688205,-122.0807964
172,Healdsburg,City,Sonoma,11254,4.46,"Healdsburg, California",0.0,38.6298355,-122.85900211842106
173,Hemet,City,Riverside,78657,27.85,"Hemet, California",0.0,33.778562550000004,-117.03578886849186
174,Hercules,City,Contra Costa,24060,6.21,"Hercules, California",0.0,38.0171441,-122.2885808
176,Hesperia,City,San Bernardino,90173,73.1,"Hesperia, California",0.0,34.4263886,-117.3008784
177,Hidden Hills,City,Los Angeles,1856,1.69,"Hidden Hills, California",0.0,34.164091,-118.657837
178,Highland,City,San Bernardino,53104,18.76,"Highland, California",0.0,34.1283442,-117.2086513
179,Hillsborough,Town,San Mateo,10825,6.19,"Hillsborough, California",0.0,37.5741032,-122.3794163
180,Hollister,City,San Benito,34928,7.29,"Hollister, California",0.0,36.8524545,-121.4016021
181,Holtville,City,Imperial,5939,1.15,"Holtville, California",0.0,32.8139211,-115.3781071
182,Hughson,City,Stanislaus,6640,1.82,"Hughson, California",0.0,37.5969577,-120.8660083
184,Huntington Park,City,Los Angeles,58114,3.01,"Huntington Park, California",0.0,33.9827043,-118.2120343
185,Huron,City,Fresno,6754,1.59,"Huron, California",0.0,36.213448,-120.07103080846241
186,Imperial,City,Imperial,14758,5.86,"Imperial, California",0.0,33.0305487,-115.3595666
187,Imperial Beach,City,San Diego,26324,4.16,"Imperial Beach, California",0.0,32.5839444,-117.1130849
188,Indian Wells,City,Riverside,4958,14.32,"Indian Wells, California",0.0,33.7217965,-116.3383034
189,Indio,City,Riverside,76036,29.18,"Indio, California",0.0,33.7192808,-116.2188054
190,Industry,City,Los Angeles,219,11.78,"Industry, California",0.0,33.996821,-117.88611057547772
191,Inglewood,City,Los Angeles,109673,9.07,"Inglewood, California",0.0,33.9562003,-118.353132
192,Ione,City,Amador,7918,4.76,"Ione, California",0.0,38.3526913,-120.9327177
194,Irwindale,City,Los Angeles,1422,8.83,"Irwindale, California",0.0,34.1069927,-117.9342148
195,Isleton,City,Sacramento,804,0.44,"Isleton, California",0.0,38.1618614,-121.6116206
196,Jackson,City,Amador,4651,3.73,"Jackson, California",0.0,38.3488024,-120.7741018
197,Jurupa Valley,City,Riverside,95004,43.63,"Jurupa Valley, California",0.0,33.9798472,-117.4515754
198,Kerman,City,Fresno,13544,3.23,"Kerman, California",0.0,36.7235543,-120.0599144
199,King City,City,Monterey,12874,3.84,"King City, California",0.0,36.226559,-121.15856617878941
200,Kingsburg,City,Fresno,11382,2.83,"Kingsburg, California",0.0,36.5138398,-119.5538929
201,La Cañada Flintridge,City,Los Angeles,20246,8.63,"La Cañada Flintridge, California",0.0,34.1998302,-118.2005236
203,La Habra Heights,City,Los Angeles,5325,6.16,"La Habra Heights, California",0.0,33.9604546,-117.9504255
205,La Mirada,City,Los Angeles,48527,7.84,"La Mirada, California",0.0,33.9060971,-118.0107092
206,La Palma,City,Orange,15568,1.81,"La Palma, California",0.0,33.846404,-118.0467306
207,La Puente,City,Los Angeles,39816,3.48,"La Puente, California",0.0,34.01979,-117.9503677
209,La Verne,City,Los Angeles,31063,8.43,"La Verne, California",0.0,34.1008426,-117.7678355
211,Laguna Beach,City,Orange,22723,8.85,"Laguna Beach, California",0.0,33.5426975,-117.7853665
214,Laguna Woods,City,Orange,16192,3.12,"Laguna Woods, California",0.0,33.6106076,-117.7249722
215,Lake Elsinore,City,Riverside,51821,36.21,"Lake Elsinore, California",0.0,33.6680772,-117.3272615
216,Lake Forest,City,Orange,77264,17.82,"Lake Forest, California",0.0,33.6469261,-117.6859213
217,Lakeport,City,Lake,4753,3.06,"Lakeport, California",0.0,39.0429506,-122.9158293
218,Lakewood,City,Los Angeles,80048,9.41,"Lakewood, California",0.0,33.8503463,-118.1171914
219,Lancaster,City,Los Angeles,156633,94.28,"Lancaster, California",0.0,34.6981064,-118.1366153
220,Larkspur,City,Marin,11926,3.03,"Larkspur, California",0.0,37.9340915,-122.5352539
221,Lathrop,City,San Joaquin,18023,21.93,"Lathrop, California",0.0,37.8227046,-121.27661
222,Lawndale,City,Los Angeles,32769,1.97,"Lawndale, California",0.0,33.8885217,-118.3531991
223,Lemon Grove,City,San Diego,25320,3.88,"Lemon Grove, California",0.0,32.7425516,-117.0314172
224,Lemoore,City,Kings,24531,8.52,"Lemoore, California",0.0,36.3006495,-119.7827122
225,Lincoln,City,Placer,42819,20.11,"Lincoln, California",0.0,38.859829500000004,-121.34239205792437
226,Lindsay,City,Tulare,11768,2.61,"Lindsay, California",0.0,36.2030064,-119.08816
227,Live Oak,City,Sutter,8392,1.87,"Live Oak, California",0.0,39.2757232,-121.6599701
229,Livingston,City,Merced,13058,3.72,"Livingston, California",0.0,37.3868826,-120.7235329
230,Lodi,City,San Joaquin,62134,13.61,"Lodi, California",0.0,38.1301968,-121.2724473
231,Loma Linda,City,San Bernardino,23261,7.52,"Loma Linda, California",0.0,34.075626,-117.25204775
232,Lomita,City,Los Angeles,20256,1.91,"Lomita, California",0.0,33.8036545,-118.3195014
233,Lompoc,City,Santa Barbara,42434,11.6,"Lompoc, California",0.0,34.6391501,-120.4579409
235,Loomis,Town,Placer,6430,7.27,"Loomis, California",0.0,38.8212889,-121.1930041
236,Los Alamitos,City,Orange,11449,4.05,"Los Alamitos, California",0.0,33.8038865,-118.0772433
238,Los Altos Hills,Town,Santa Clara,7922,8.8,"Los Altos Hills, California",0.0,37.3796627,-122.1374637
240,Los Banos,City,Merced,35972,9.99,"Los Banos, California",0.0,37.0592253,-120.8505342
242,Loyalton,City,Sierra,769,0.36,"Loyalton, California",0.0,39.6750962,-120.2443698
243,Lynwood,City,Los Angeles,69772,4.84,"Lynwood, California",0.0,33.924831,-118.2024154
244,Madera,City,Madera,61416,15.79,"Madera, California",0.0,36.9418115,-120.17143817857144
245,Malibu,City,Los Angeles,12645,19.78,"Malibu, California",0.0,34.035591,-118.689423
