Neighborhood,Neighbourhood Number,"Population, 2016",Latitude,Longitude,,
Oakridge,121,13845,43.6971738,-79.2748232,,
Oakwood Village,107,21210,43.6827255,-79.4380548,,
O'Connor-Parkview,54,18675,43.7078416,-79.3110743,,
Old East York,58,9233,43.699971000000000,-79.33251996261600,,
Palmerston-Little Italy,80,13826,43.655527,-79.4099852,,
Pelmo Park-Humberlea,23,10722,43.7121949,-79.51755639837400,,
Pleasant View,46,15818,43.787048,-79.3337137,,
Regent Park,72,10803,43.6607056,-79.3604569,,
Rexdale-Kipling,4,10529,43.7213619,-79.5655129,,
Roncesvalles,86,14974,43.6514426,-79.4510381,,
Rosedale-Moore Park,98,20923,43.6903876,-79.3832965,,
Rouge,131,46496,43.8049304,-79.1658374,,
Runnymede-Bloor West Village,89,10070,43.6517026,-79.4759978,,
Rustic,28,9941,43.71336615,-79.50450373904310,,
Scarborough Village,139,16724,43.7437422,-79.2116324,,
South Parkdale,85,21849,53.478282200000000,-113.92831073247300,,
South Riverdale,70,27876,43.6654704,-79.3525936,,
St.Andrew-Windfields,40,17812,47.6186446,-65.6496368,,
Steeles,116,24623,43.8161778,-79.3145378,,
Stonegate-Queensway,16,25051,43.62195,-79.5234993,,
Tam O'Shanter-Sullivan,118,27446,43.7792521,-79.3076282,,
Taylor-Massey,61,15683,43.6976474,-79.3011926,,
The Beaches,63,21567,43.6710244,-79.296712,,
Thorncliffe Park,55,21108,43.704553,-79.3454074,,
Trinity-Bellwoods,81,16556,43.64756465,-79.41388090266670,,
University,79,7607,51.0799815,-114.1229253680780,,
Victoria Village,43,17510,43.732658,-79.3111892,,
West Hill,136,27392,43.7689144,-79.1872905,,
Weston,113,17992,43.7001608,-79.5162474,,
Willowdale East,51,50434,43.7615095,-79.4109234,,
Willowdale West,37,16936,43.7615095,-79.4109234,,
Woburn,137,53485,43.7598243,-79.2252908,,
Wychwood,94,14349,43.682121700000000,-79.42383883756800,,
Yonge-Eglinton,100,11817,43.7067479,-79.3983271,,
Yonge-St.Clair,97,12528,43.6880189,-79.3945708,,
York University Heights,27,27593,43.7587808,-79.5194336,,
Yorkdale-Glen Park,31,14804,43.7064433,-79.4526856,,
